year,month,0,1,2,3,4,5,6,7,8,9
1988,11,0,8,15,1,0,2,3,0,1,0
1988,12,0,6,5,14,0,0,0,0,1,5
1989,1,0,11,1,12,0,0,0,0,0,7
1989,2,0,4,0,7,0,0,0,0,1,16
1989,3,0,4,0,1,0,0,0,0,2,24
1989,4,1,1,0,0,0,8,20,0,0,0
1989,5,14,0,0,0,2,10,5,0,0,0
1989,6,10,0,0,0,6,0,0,14,0,0
1989,7,0,0,0,0,0,0,0,31,0,0
1989,8,0,0,0,0,5,0,0,26,0,0
1989,9,2,0,0,0,22,0,0,6,0,0
1989,10,9,0,0,0,2,16,4,0,0,0
1989,11,0,5,8,0,0,12,4,0,1,0
1989,12,0,7,7,0,0,0,0,0,6,11
1990,1,0,10,0,6,0,0,0,0,0,15
1990,2,0,1,0,1,0,0,0,0,1,25
1990,3,0,5,0,12,0,3,5,0,1,5
1990,4,0,1,0,1,0,3,16,0,4,5
1990,5,26,0,0,0,4,1,0,0,0,0
1990,6,8,0,0,0,10,0,0,12,0,0
1990,7,0,0,0,0,2,0,0,29,0,0
1990,8,0,0,0,0,3,0,0,28,0,0
1990,9,1,0,0,0,22,0,0,7,0,0
1990,10,6,0,0,0,7,17,1,0,0,0
1990,11,2,2,4,3,0,6,12,0,1,0
1990,12,0,4,6,5,0,0,6,0,0,10
1991,1,0,15,3,0,0,0,0,0,1,12
1991,2,0,11,5,1,0,0,0,0,5,6
1991,3,0,17,2,0,0,0,8,0,1,3
1991,4,3,2,2,1,0,3,12,0,0,7
1991,5,19,0,0,0,1,5,6,0,0,0
1991,6,3,0,0,0,16,0,0,11,0,0
1991,7,0,0,0,0,0,0,0,31,0,0
1991,8,0,0,0,0,2,0,0,29,0,0
1991,9,0,0,0,0,22,0,0,8,0,0
1991,10,11,1,0,0,4,12,3,0,0,0
1991,11,0,3,0,3,0,7,12,0,0,5
1991,12,0,13,7,10,0,0,0,0,0,1
1992,1,0,10,11,8,0,0,0,0,0,2
1992,2,0,7,1,10,0,0,0,0,0,11
1992,3,0,12,1,8,0,0,4,0,4,2
1992,4,0,5,0,3,0,5,12,0,2,3
1992,5,16,0,0,0,0,11,3,1,0,0
1992,6,11,0,0,0,10,0,0,9,0,0
1992,7,0,0,0,0,7,0,0,24,0,0
1992,8,0,0,0,0,12,0,0,19,0,0
1992,9,9,0,0,0,20,0,0,1,0,0
1992,10,11,0,0,0,0,0,20,0,0,0
1992,11,0,1,0,6,0,6,2,0,0,15
1992,12,0,13,1,5,0,0,0,0,0,12
1993,1,0,7,0,9,0,0,0,0,0,15
1993,2,0,12,9,7,0,0,0,0,0,0
1993,3,0,14,8,5,0,0,1,0,0,3
1993,4,4,8,0,1,0,3,13,0,0,1
1993,5,18,0,0,0,1,10,2,0,0,0
1993,6,5,0,0,0,19,0,0,6,0,0
1993,7,0,0,0,0,3,0,0,28,0,0
1993,8,0,0,0,0,3,0,0,28,0,0
1993,9,14,0,0,0,13,0,0,3,0,0
1993,10,19,0,0,0,2,1,9,0,0,0
1993,11,1,16,0,0,0,8,2,0,0,3
1993,12,0,2,0,17,0,0,0,0,1,11
1994,1,0,0,0,16,0,0,0,0,5,10
1994,2,0,15,0,0,0,0,0,0,8,5
1994,3,0,0,0,18,0,0,1,0,1,11
1994,4,0,0,0,0,0,6,18,0,0,6
1994,5,12,0,0,0,5,11,3,0,0,0
1994,6,0,0,0,0,23,2,0,5,0,0
1994,7,0,0,0,0,0,0,0,31,0,0
1994,8,0,0,0,0,6,0,0,25,0,0
1994,9,0,0,0,0,25,0,0,5,0,0
1994,10,4,0,0,0,6,12,9,0,0,0
1994,11,0,7,2,4,0,10,4,0,0,3
1994,12,0,5,2,7,0,0,0,0,0,17
1995,1,0,6,1,9,0,0,0,0,4,11
1995,2,0,0,0,11,0,0,0,0,3,14
1995,3,0,7,2,11,0,0,0,0,0,11
1995,4,3,3,4,6,0,1,13,0,0,0
1995,5,7,0,0,0,8,4,8,4,0,0
1995,6,1,0,0,0,6,0,0,23,0,0
1995,7,0,0,0,0,4,0,0,27,0,0
1995,8,0,0,0,0,0,0,0,31,0,0
1995,9,2,0,0,0,11,0,0,17,0,0
1995,10,0,0,0,0,2,26,3,0,0,0
1995,11,2,7,10,0,0,0,11,0,0,0
1995,12,0,12,6,0,0,0,0,0,13,0
1996,1,0,18,5,0,0,0,0,0,2,6
1996,2,0,0,7,4,0,0,0,0,13,5
1996,3,0,15,11,0,0,0,2,0,3,0
1996,4,0,10,0,0,0,9,9,0,2,0
1996,5,13,0,0,0,6,2,10,0,0,0
1996,6,6,0,0,0,17,0,0,7,0,0
1996,7,0,0,0,0,3,0,0,28,0,0
1996,8,0,0,0,0,0,0,0,31,0,0
1996,9,20,0,0,0,7,0,0,3,0,0
1996,10,0,0,0,0,6,23,2,0,0,0
1996,11,0,0,0,5,0,6,15,0,0,4
1996,12,0,3,9,2,0,0,4,0,12,1
1997,1,0,10,11,1,0,0,1,0,4,4
1997,2,0,1,1,7,0,0,0,0,2,17
1997,3,0,7,5,13,0,0,0,0,1,5
1997,4,0,1,13,6,0,3,7,0,0,0
1997,5,19,0,0,0,1,5,6,0,0,0
1997,6,7,0,0,0,11,0,0,12,0,0
